route_module,domain,decision,rationale,next_step
server/routes/agent-infrastructure-routes.ts,agent_ops_email_generation,keep,"Not mounted, but endpoint paths are referenced in server/services/agents/core-email-agent.ts.","Keep module; validate/remount against current agent flow."
server/routes/agent-prompt-visibility-routes.ts,agent_prompt_visibility,safe_to_archive,"Not mounted; no runtime callers for this module endpoint set. Active /api/agent-prompts is served by another mounted router.","Archive after one QA pass on current agent prompts pages."
server/routes/call-monitoring-routes.ts,call_monitoring,safe_to_archive,"Not mounted; no runtime caller evidence.","Archive."
server/routes/campaign-channels.ts,campaign_channel_configuration,safe_to_archive,"Not mounted; no runtime caller evidence for these channel endpoints.","Archive."
server/routes/campaign-contacts-by-event.ts,campaign_execution_analytics,keep,"Not mounted, but called by client/src/pages/contacts.tsx (/api/campaigns/${campaignId}/contacts-by-event).","Keep and remount to restore/retain functionality."
server/routes/campaign-context-routes.ts,campaign_creation_ai_workflow,keep,"Not mounted, but called by campaign builder components (/api/campaign-context/*).","Keep and remount; required for wizard flows."
server/routes/campaign-ingestion-routes.ts,campaign_creation_ingestion,keep,"Not mounted, but called by campaign auto-generation flows (/api/campaigns/ingest*).","Keep and remount."
server/routes/campaign-preview.ts,campaign_preview_legacy,safe_to_archive,"Not mounted; no runtime caller evidence for /preview/* endpoints from this module.","Archive."
server/routes/campaign-templates.ts,campaign_templates_legacy,safe_to_archive,"Not mounted; no runtime caller evidence for this module endpoint set.","Archive."
server/routes/knowledge-hub.ts,knowledge_prompt_context,keep,"Not mounted, but heavily used by client pages (/api/knowledge-hub*).","Keep and remount with auth checks."
server/routes/mailgun-webhook.ts,email_webhook,safe_to_archive,"Not mounted; active webhook handler already exists inline in server/routes.ts (/api/mailgun/webhooks).","Archive as duplicate legacy module."
server/routes/openai-webrtc.ts,realtime_ai_webrtc,keep,"Not mounted, but client references /api/openai/webrtc/ephemeral-token.","Keep and remount for WebRTC test/support flow."
server/routes/phase6-routes.ts,campaign_optimization,keep,"Not mounted, but used by client/src/components/Phase6Features.tsx and integration tests.","Keep and remount."
server/routes/preview-studio.ts,preview_studio,keep,"Not mounted, but many client pages/components call /api/preview-studio/*.","Keep and remount with priority."
server/routes/prompt-management.ts,prompt_management_legacy,safe_to_archive,"Not mounted; active prompt APIs are mounted via unifiedPromptRouter on /api/prompts.","Archive as superseded by unified prompt routes."
server/routes/prompt-variants-new.ts,prompt_variants_experiment,safe_to_archive,"Not mounted; no runtime caller evidence outside variant route files themselves.","Archive."
server/routes/prompt-variants.ts,prompt_variants_legacy,safe_to_archive,"Not mounted; no runtime caller evidence.","Archive."
server/routes/sip-agent-websocket.ts,sip_agent_realtime,keep,"Not mounted as router, but client useSIPWebSocket uses /api/sip-agent path and this module exports WS setup.","Keep; wire setup explicitly if SIP flow is active."
server/routes/smi-agent-routes.ts,smi_intelligence,keep,"Unmounted with no direct UI refs, but large specialized AI route set; high risk to archive blindly.","Keep pending targeted owner validation."
server/routes/telnyx-webrtc.ts,telephony_webrtc_credentials,keep,"Not mounted, but client pages call /api/telnyx/webrtc/credentials.","Keep and remount."
server/routes/vertex-ai.ts,vertex_ai_utilities,keep,"Unmounted; no direct caller evidence, but central AI utility surface and high operational risk if removed.","Keep pending AI-owner validation."
server/routes/voice-insights.ts,voice_insights_analytics,safe_to_archive,"Not mounted; no runtime caller evidence. Overlaps with active disposition-intelligence/conversation-quality style surfaces.","Archive after confirming no downstream dependency."
